Rank,Name,Ticker,Market cap,Price,Circulating supply,id
1,Bitcoin,BTC,954880954584.64,51206.69,18647581,bitcoin
2,Ethereum,ETH,198088541069.55,1723.15,114956971,ethereum
3,Binance Coin,BNB,37115563234.61,240.18,154532785,binancecoin
4,Tether,USDT,36472973681.61,1.0003,36461381803,tether
5,Cardano,ADA,36209148044.41,1.1334,31948309441,cardano
6,Polkadot,DOT,32235883114.92,35.19,916087270,polkadot
7,XRP,XRP,21197655054.81,0.4669,45404028640,ripple
8,Uniswap,UNI,17864556536.12,34.28,521162962,uniswap
9,Litecoin,LTC,12707914232.95,190.76,66617600,litecoin
10,Chainlink,LINK,11747862015.92,28.55,411509556,chainlink
11,Bitcoin Cash,BCH,9638804979.85,516.17,18673575,bitcoin-cash
12,Stellar,XLM,9318321013.21,0.4128,22571069795,stellar
13,USD Coin,USDC,8969172583.82,0.9999,8969225097,usd-coin
14,Dogecoin,DOGE,6706005852.25,0.05212,128660436438,dogecoin
15,Wrapped Bitcoin,WBTC,6434480452.25,51406.18,125169,wrapped-bitcoin
16,NEM,XEM,6373778997.12,0.7082,8999999999,nem
17,Aave,AAVE,5060997597.21,407.15,12430227,aave
18,THETA,THETA,4339654124.68,4.3397,1000000000,theta-token
19,Cosmos,ATOM,4122089074.05,19.49,211457944,cosmos
20,Crypto.com Coin,CRO,3858154401.4,0.1598,24143835615,crypto-com-chain
21,Monero,XMR,3725987658.24,208.66,17856924,monero
22,TRON,TRX,3706346586.9,0.05172,71659657369,tron
23,EOS,EOS,3656431777.49,3.8443,951135778,eos
24,IOTA,MIOTA,3650421615.75,1.3133,2779530283,iota
25,VeChain,VET,3660862435.67,0.05692,64315576989,vechain
26,Solana,SOL,3634579982.53,13.88,261900137,solana
27,Bitcoin SV,BSV,3462087889.06,185.42,18671608,bsv
28,Terra,LUNA,3344413338.57,8.2712,404346352,terra-luna-2
29,Tezos,XTZ,3191641332.28,4.187,762269317,tezos
30,Binance USD,BUSD,3132965100.41,0.9999,3133278428,binance-usd
31,Huobi Token,HT,2923715181.17,15.65,186866518,huobi-token
32,FTX Token,FTT,2906882733.88,30.81,94346958,ftx-token
33,Neo,NEO,2770394420.86,39.27,70538831,neo
34,Dai,DAI,2555921014.34,1.0006,2554287347,dai
35,Elrond,EGLD,2491840948.22,145.9,17079295,elrond-erd-2
36,Synthetix,SNX,2484065937.51,21.63,114841533,havven
37,Algorand,ALGO,2470106263.11,1.1036,2238126545,algorand
38,Filecoin,FIL,2384582884.26,41.53,57415312,filecoin
39,The Graph,GRT,2341116234.12,1.8794,1245666867,the-graph
40,SushiSwap,SUSHI,2271434972.66,17.85,127244443,sushi
41,Compound,COMP,2266167023.02,486.87,4654548,compound-coin
42,Avalanche,AVAX,2236935400.1,26.65,83937049,avalanche-2
43,Maker,MKR,2220835807.3,2231.46,995239,maker
44,Dash,DASH,2145108095.64,214.24,10012784,dash
45,Kusama,KSM,1984096371.75,234.25,8470098,kusama
46,Decred,DCR,1953401380.17,154.05,12680638,decred
47,UNUS SED LEO,LEO,1875607970.21,1.8765,999498893,leo-token
48,PancakeSwap,CAKE,1526115594.76,11.67,130813583,pancakeswap-token
49,Zcash,ZEC,1449541539.23,128.47,11283369,zcash
50,yearn.finance,YFI,1427623894.15,38968.92,36635,yearn-finance
51,THORChain,RUNE,1359188102.65,5.7043,238275761,thorchain
52,Ethereum Classic,ETC,1340694499.96,11.53,116313299,ethereum-classic
53,Voyager Token,VGX,1353829794.06,6.0902,222295208,ethos
54,NEAR Protocol,NEAR,1325084976.4,4.2796,309626601,near
55,Zilliqa,ZIL,1301682064.27,0.1181,11025917088,zilliqa
56,Ravencoin,RVN,1310104634.69,0.1581,8284705000,ravencoin
57,Bancor,BNT,1283540289.22,8.4504,151891286,bancor
58,Bitcoin BEP2,BTCB,1282328090.42,50688.97,25298,binance-bitcoin
59,UMA,UMA,1251573342.39,22.28,56166662,uma
60,BitTorrent,BTT,1240239869.14,0.001253,989974729176,bittorrent
61,Nexo,NEXO,1219532274.96,2.1777,560000011,nexo
62,Celsius,CEL,1202196610.19,5.033,238863520,celsius-degree-token
63,Ren,REN,1172616117.13,1.1771,996163051,republic-protocol
64,Enjin Coin,ENJ,1177456514.39,1.4113,834313757,enjincoin
65,ICON,ICX,1175399155.03,1.9839,592462850,icon
66,Hedera Hashgraph,HBAR,1147104773.81,0.1527,7513753903,hedera-hashgraph
67,Fantom,FTM,1133161665.71,0.4452,2545006273,fantom
68,0x,ZRX,1076268783.47,1.4154,760407232,0x
69,SwissBorg,CHSB,1084211698.24,1.1513,941725238,swissborg
70,Waves,WAVES,1057616892.36,10.12,104515024,waves
71,Polygon,MATIC,1054081390.09,0.2122,4966397110,matic-network
72,OKB,OKB,1049132515.95,17.49,60000000,okb
73,Revain,REV,1049443045.16,0.01234,85061485690,revain
74,Basic Attention Token,BAT,1033989798.9,0.6943,1489288106,basic-attention-token
75,Stacks,STX,889456746.0,1.2023,739781894,blockstack
76,Ontology,ONT,845246416.28,1.0462,807932992,ontology
77,Flow,FLOW,797386192.53,34.22,23301002,flow
78,TerraUSD,UST,782452785.2,1.0003,782218309,terrausd-wormhole
79,DigiByte,DGB,778406803.1,0.0552,14101748198,digibyte
80,Theta Fuel,TFUEL,772886517.76,0.1471,5254443200,theta-fuel
81,renBTC,RENBTC,764432781.16,51110.0,14957,renbtc
82,IOST,IOST,743695313.22,0.04542,16374175762,iostoken
83,OMG Network,OMG,718399523.91,5.1224,140245398,omisego
84,Celo,CELO,715371665.34,3.8785,184447717,celo
85,Chiliz,CHZ,699969020.38,0.1286,5442094892,chiliz
86,Loopring,LRC,697153477.25,0.5708,1221332445,loopring
87,Reserve Rights,RSR,695717396.07,0.07441,9349999000,reserve-rights-token
88,Nano,NANO,693581623.19,5.2052,133248297,nanomatic
89,Paxos Standard,PAX,674120072.06,0.9985,675099791,
90,HUSD,HUSD,649487249.93,0.9998,649610366,husd
91,Decentraland,MANA,634573892.02,0.403,1574490149,decentraland
92,Qtum,QTUM,622792932.83,6.3432,98182245,qtum
93,Ocean Protocol,OCEAN,622866706.75,1.4865,419026837,ocean-protocol
94,1inch,1INCH,574235431.94,3.9823,144195680,1inch
95,ZKSwap,ZKS,556691770.7,2.8195,197440000,zkspace
96,Horizen,ZEN,545490811.04,50.33,10838463,zencash
97,Curve DAO Token,CRV,539416195.35,2.2286,242042589,curve-dao-token
98,Siacoin,SC,517094646.86,0.01095,47236132992,shibchain
99,Bitcoin Gold,BTG,509461441.69,29.09,17513924,bitcoin-gold
100,Holo,HOT,511964217.42,0.003049,167932356636,holotoken
101,Pundi X,NPXS,485919379.87,0.002059,235949908115,pundi-x
102,Energy Web Token,EWT,480900177.26,16.0,30062138,ecowatt
103,Arweave,AR,450774793.27,13.5,33394701,arweave
104,Quant,QNT,438148560.09,36.29,12072738,quant-network
105,Reef,REEF,430560790.76,0.03821,11268898338,reef
106,Golem,GLM,431918770.18,0.4319,1000000000,golem
107,Kyber Network,KNC,423688893.38,2.0662,205055327,kyber-network-crystal
108,DODO,DODO,416411100.34,4.2062,98998613,dodo
109,Lisk,LSK,412737193.25,3.2383,127453306,lisk
110,HedgeTrade,HEDG,389187080.86,1.116,348731468,hedgetrade
111,Badger DAO,BADGER,385125641.03,51.56,7469023,badger-dao
112,KuCoin Token,KCS,377003815.49,4.7056,80118638,kucoin-shares
113,Verge,XVG,364434438.74,0.02217,16435186749,verge
114,Venus,XVS,346270440.52,39.44,8780444,venus
115,Harmony,ONE,343751094.56,0.03707,9273394357,harmony
116,Augur,REP,336843975.44,30.62,11000000,augur
117,Helium,HNT,313780269.88,4.2923,73102575,helium
118,Status,SNT,309079225.76,0.08906,3470483788,status
119,Balancer,BAL,302427246.44,43.55,6943831,balancer
120,TrustSwap,SWAP,307599827.86,3.8175,80575256,trustswap
121,Serum,SRM,301163551.5,6.0233,50000000,serum
122,Ampleforth,AMPL,300077857.17,1.0191,294462309,ampleforth
123,TrueUSD,TUSD,294667003.66,0.9998,294717191,true-usd
124,Alpha Finance Lab,ALPHA,294281596.98,1.6899,174136442,alphacoin
125,Fetch.ai,FET,278702831.38,0.3735,746113681,fetch-ai
126,Band Protocol,BAND,275243113.96,13.43,20494033,band-protocol
127,NuCypher,NU,274044963.39,0.6843,400500000,nucypher
128,Civic,CVC,268759616.91,0.4011,670000000,civic
129,Nervos Network,CKB,263231653.88,0.01088,24189558368,nervos-network
130,IoTeX,IOTX,260927730.08,0.02706,9644304442,iotex
131,Polymath,POLY,253967661.03,0.4265,595508568,polymath
132,Polkastarter,POLS,250378012.17,4.1887,59775000,polkastarter
133,Kava.io,KAVA,246629993.0,4.2142,58524186,kava
134,Ankr,ANKR,230572215.35,0.03549,6496232711,ankr
135,Swipe,SXP,226681896.39,2.5896,87536975,swipe
136,TomoChain,TOMO,224937744.71,2.7884,80668675,tomochain
137,COTI,COTI,217889012.12,0.3253,669740238,coti
138,FunFair,FUN,217204641.07,0.03317,6548879189,funfair
139,saffron.finance,SFI,204153449.77,2619.16,77946,saffron-finance
140,Gnosis,GNO,208078644.67,138.3,1504587,gnosis
141,Secret,SCRT,205859181.45,2.9534,69703477,secret
142,Ardor,ARDR,205476094.01,0.2057,998999495,ardor
143,MaidSafeCoin,MAID,204467755.19,0.4518,452552412,maidsafecoin-token
144,Aragon,ANT,200209166.51,5.0546,39609523,aragon
145,RSK Infrastructure Framework,RIF,198128490.99,0.2833,699380010,rif-token
146,Sora,XOR,198199647.74,566.28,350000,sora
147,Stratis,STRAX,196826469.99,1.5263,128954456,stratis
148,VeThor Token,VTHO,196843698.53,0.005962,33016012421,vethor-token
149,Bitcoin Diamond,BCD,195989352.25,1.0509,186492898,bitcoin-diamond
150,Injective Protocol,INJ,190993789.26,12.19,15664662,injective-protocol
151,ZB Token,ZB,191790719.6,0.414,463288810,zb-token
152,WAX,WAXP,191022875.76,0.1249,1529256820,wax
153,Komodo,KMD,187539376.12,1.5047,124639200,komodo
154,Numeraire,NMR,189362087.23,39.61,4780190,numeraire
155,Bitcoin Standard Hashrate Token,BTCST,188125036.4,319.19,589388,btc-standard-hashrate-token
156,Orchid,OXT,184311135.92,0.5014,367584352,orchid-protocol
157,Utrust,UTK,183798308.34,0.4084,450000000,utrust
158,Oasis Network,ROSE,181707004.38,0.1211,1500000000,rose
159,Telcoin,TEL,182276888.65,0.003555,51270110195,telcoin
160,OriginTrail,TRAC,182596113.75,0.5205,350797416,origintrail
161,Ark,ARK,181118419.45,1.4185,127683615,ark
162,Storj,STORJ,175428866.16,0.6948,252483942,storj
163,Steem,STEEM,176058837.33,0.4678,376387358,steem
164,Unibright,UBT,172239535.63,1.1483,149999999,unibright
165,Litentry,LIT,168666534.36,9.2344,18265043,lit
166,SingularityNET,AGI,168325171.54,0.1946,865153005,agility
167,BitShares,BTS,166473789.08,0.05559,2994860000,bitshares
168,ABBC Coin,ABBC,166140027.11,0.2017,823511148,alibabacoin
169,Hifi Finance,MFT,161450731.98,0.01615,10000000000,mainframe
170,Populous,PPT,161214673.3,3.0274,53252246,populous
171,aelf,ELF,160773558.12,0.2953,544480200,aelf
172,district0x,DNT,157519248.68,0.2625,600000000,district0x
173,Origin Protocol,OGN,153331320.09,0.5916,259181669,origin-protocol
174,LTO Network,LTO,152386372.18,0.5557,274227695,lto-network
175,iExec RLC,RLC,154858070.1,1.934,80070793,iexec-rlc
176,BORA,BORA,157233366.28,0.1843,853244247,bora
177,Dent,DENT,152810973.95,0.001681,90919152442,dent
178,Celer Network,CELR,149899969.47,0.02803,5347812747,celer-network
179,Vai,VAI,146992024.7,0.9872,148893635,vai
180,Wanchain,WAN,145750913.33,0.8623,169028581,wanchain
181,Power Ledger,POWR,142200231.33,0.3289,432299654,power-ledger
182,Haven Protocol,XHV,140896747.21,10.04,14032878,haven
183,Kin,KIN,136857890.94,9.015e-05,1518114145968,kin
184,Travala.com,AVA,134348247.51,2.6334,51016529,avatly
185,Syntropy,NOIA,132768157.21,0.404,328665941,noia-network
186,CyberVein,CVT,131360872.81,0.1239,1060404496,concertvr
187,Divi,DIVI,130628137.35,0.0598,2184328494,divi
188,JUST,JST,129945498.45,0.05749,2260326706,just
189,Loom Network,LOOM,131276715.48,0.1353,970520754,loom-network-new
190,MonaCoin,MONA,129109816.16,1.9643,65729675,mona
191,PAX Gold,PAXG,124824996.41,1720.87,72536,pax-gold
192,Hive,HIVE,125882570.5,0.314,400889162,hive
193,Bytom,BTM,122637579.21,0.08674,1413782069,bytom
194,ReddCoin,RDD,117563445.21,0.004081,28808713174,reddcoin
195,Syscoin,SYS,120034978.53,0.1974,608033270,syscoin
196,Gemini Dollar,GUSD,118996468.05,0.9916,120009589,gemini-dollar
197,Unifi Protocol DAO,UNFI,116556552.77,34.31,3396667,unifi-protocol-dao
198,GateToken,GT,117283097.27,1.4896,78733178,gatechain-token
199,Gas,GAS,113782928.41,11.23,10128375,gas
200,IRISnet,IRIS,108583106.82,0.113,960503404,iris-network
201,Creditcoin,CTC,3218096556.08,5.696,564970555,cybertronchain
202,Bridge Oracle,BRG,2492697978.2,0.3115,8002167205,bridge-oracle
203,Wrapped BNB,WBNB,1654023779.28,236.77,6985693,wbnb
204,Counos X,CCXX,1638823588.76,91.91,17831253,counosx
205,HEX,HEX,1525580113.33,0.008797,173411074413,hex
206,WhiteCoin,XWC,1513372745.14,2.1247,712272669,whitecoin
207,DeFiChain,DFI,1341962865.68,3.385,396448077,defichain
208,INO COIN,INO,1136861837.38,6.3158,180003180,
209,ThoreCoin,THR,866808190.17,9999.4,86686,
210,The Transfer Token,TTT,630556680.35,5.9982,105124470,tabtrader
211,BitMax Token,BTMX,508804834.91,0.7702,660615274,
212,XinFin Network,XDC,463352748.29,0.03782,12249962787,xdce-crowd-sale
213,NXM,NXM,420214010.7,65.92,6374335,nxm
214,Venus BNB,vBNB,408034415.71,4.8387,84327095,
215,Mdex,MDX,365007608.48,4.7926,76160000,mdex
216,Bitpanda Ecosystem Token,BEST,354282878.45,0.8489,417348513,bitpanda-ecosystem-token
217,Orion Protocol,ORN,343035741.25,16.71,20530000,orion-protocol
218,Zelwin,ZLW,338846720.63,4.7963,70647983,zelwin
219,stETH (Lido),STETH,301046567.51,1635.33,184089,staked-ether
220,Bitcoin Cash ABC,BCHA,284836881.4,15.34,18572921,
221,Mirror Protocol,MIR,266017831.45,6.4346,41342026,mirror-protocol
222,The Sandbox,SAND,260121526.13,0.3824,680266194,the-sandbox
223,GNY,GNY,247202185.68,1.285,192376657,gny
224,Huobi BTC,HBTC,245588564.62,51056.15,4810,huobi-btc
225,botXcoin,BOTX,238166904.53,0.1459,1632102305,botxcoin
226,Sologenic,SOLO,248957558.7,1.2448,200001808,solo-coin
227,Amp,AMP,221568594.11,0.02207,10040480895,amp-token
228,SafePal,SFP,219390079.98,2.0283,108166667,safepal
229,Gala,GALA,217444705.85,0.03117,6977205436,gala
230,Akash Network,AKT,212376573.82,5.501,38607070,akash-network
231,MimbleWimbleCoin,MWC,211243192.96,19.72,10711454,mimblewimblecoin
232,Venus BTC,vBTC,209460883.27,1017.61,205836,
233,Electroneum,ETN,208205793.04,0.01167,17843857222,electroneum
234,Orbit Chain,ORC,203865783.4,0.4375,465987647,orbit-chain
235,Eauric,EAURIC,200011692.73,7.3424,27240513,
236,RedFOX Labs,RFOX,194234039.51,0.148,1312000760,redfox-labs-2
237,Keep Network,KEEP,191691513.44,0.4003,478860938,keep-network
238,Linear,LINA,179771161.2,0.07812,2301161648,lina
239,Venus XVS,vXVS,178033762.95,0.7933,224433925,
240,SKALE Network,SKL,172540727.91,0.3058,564166667,skale
241,Rari Governance Token,RGT,173087874.27,19.93,8686189,rari-governance-token
242,Idea Chain Coin,ICH,174087430.95,3.3968,51250580,ideachain
243,MATH,MATH,173622045.96,1.5183,114356164,math
244,Largo Coin,LRG,173293695.74,9.6642,17931529,
245,Neutrino USD,USDN,172159380.78,1.0007,172044414,
246,NewYork Exchange,NYE,174154273.15,24.56,7090060,newyork-exchange
247,DerivaDAO,DDX,171003503.55,6.5532,26094664,derivadao
248,WHALE,WHALE,168951310.87,32.25,5239164,whale
249,BakeryToken,BAKE,160256160.38,1.1979,133777335,bakerytoken
250,Elitium,EUM,160602263.18,5.3381,30086253,elitium
251,Klever,KLV,159309408.08,0.04003,3979853006,klever
252,Hathor,HTR,158455014.23,0.8762,180833876,hathor
253,Doctors Coin,DRS,154522647.23,0.6726,229741603,
254,Rewardiqa,REW,146451561.89,14.65,10000000,
255,NFTX,NFTX,142951212.68,323.49,441900,nftx
256,sUSD,SUSD,143098443.53,1.0049,142399574,nusd
257,Mask Network,MASK,142428086.35,15.83,9000000,mask-network
258,Bloomzed Loyalty Club Ticket,BLCT,138906824.68,3.6554,38000000,
259,Trust Wallet Token,TWT,138540937.48,0.5521,250926200,twitfi
260,Tokenlon Network Token,LON,135009445.69,6.1921,21803374,tokenlon
261,SuperFarm,SUPER,127634265.29,1.27,100500000,superciety
262,CoinMetro Token,XCM,125234141.19,0.413,303227627,coinmetro
263,PARSIQ,PRQ,125943997.39,1.1445,110039077,parsiq
264,GreenPower,GRN,122759579.56,0.03799,3231699360,dascoin
265,Hellenic Coin,HNC,119861555.37,1.7145,69910698,helleniccoin
266,Rocket Pool,RPL,118984877.52,11.57,10279742,rocket-pool
267,Perpetual Protocol,PERP,118572911.58,5.4402,21795505,perpetual-protocol
268,Sapphire,SAPP,117070836.78,0.2308,507194337,sapphire
269,Radix,EXRD,116269672.06,0.1582,734834633,e-radix
270,Harvest Finance,FARM,116158207.35,233.37,497750,harvest-finance
271,Axie Infinity,AXS,115633191.63,2.6961,42888284,axie-infinity
272,RChain,REV,111754314.77,0.2315,482733161,revain
273,Edgeware,EDG,110461089.6,0.02021,5466285844,edgeless
274,Chimpion,BNANA,109333628.16,3.446,31727387,banana-token
275,SparkPoint,SRK,109265370.71,0.01381,7914603260,sparkpoint
276,Ultra,UOS,107652965.2,0.3807,282787328,ultra
277,Audius,AUDIO,105929116.45,0.8827,120000000,audius
