Rank,Name,Ticker,Market cap,Price,Circulating supply
1,Bitcoin,BTC,569738074810.23,29282.91,19456331
2,Ethereum,ETH,220981729947.98,1839.28,120145768
3,Tether USDt,USDT,83348342979.74,0.9993,83410866926
4,BNB,BNB,36929825440.41,240.03,153852897
5,XRP,XRP,33050204997.41,0.6261,52787284454
6,USD Coin,USDC,26183335731.43,1.0,26182601233
7,Dogecoin,DOGE,10512917847.53,0.07478,140578416384
8,Cardano,ADA,10144538405.55,0.2895,35037835430
9,Solana,SOL,9845065424.88,24.24,406101227
10,TRON,TRX,6899883266.17,0.07711,89482977636
11,Polygon,MATIC,6312324101.44,0.6773,9319469069
12,Polkadot,DOT,6060127094.12,4.9863,1215354872
13,Shiba Inu,SHIB,6042691762.62,1.025e-05,589346914631298
14,Litecoin,LTC,6028505405.8,81.98,73538058
15,Dai,DAI,5351082671.99,0.9995,5353714631
16,Toncoin,TON,4804158183.33,1.3999,3431892088
17,Wrapped Bitcoin,WBTC,4755034318.9,29296.85,162305
18,Bitcoin Cash,BCH,4447189830.12,228.35,19475488
19,Avalanche,AVAX,4220261487.11,12.27,343826338
20,Chainlink,LINK,3965399985.67,7.3693,538099970
21,Stellar,XLM,3774126552.64,0.1379,27368681507
22,UNUS SED LEO,LEO,3710803850.68,3.9917,929631782
23,Uniswap,UNI,3519818673.55,6.0949,577501036
24,Binance USD,BUSD,3370979428.21,0.9998,3371508271
25,TrueUSD,TUSD,2969921239.57,0.9989,2973074781
26,Cosmos,ATOM,2902493431.49,8.374,346608690
27,Monero,XMR,2898414140.04,158.23,18317991
28,OKB,OKB,2798723927.05,46.65,60000000
29,Ethereum Classic,ETC,2495323116.86,17.51,142472673
30,Hedera,HBAR,1876958048.46,0.05695,32960788985
31,Filecoin,FIL,1808440311.27,4.0941,441717712
32,Internet Computer,ICP,1777591510.99,4.0312,440960299
33,Lido DAO,LDO,1598073352.44,1.8184,878835299
34,Aptos,APT,1591115417.46,7.067,225146705
35,Mantle,MNT,1488871709.56,0.4603,3234268325
36,Arbitrum,ARB,1459170911.45,1.1444,1275000000
37,Cronos,CRO,1438831147.63,0.05695,25263013692
38,VeChain,VET,1315118419.65,0.01809,72714516834
39,NEAR Protocol,NEAR,1262028165.05,1.3402,941671517
40,Quant,QNT,1224341867.87,101.41,12072738
41,Maker,MKR,1216672489.92,1244.51,977631
42,Optimism,OP,1103233660.26,1.5393,716708907
43,The Graph,GRT,971098674.13,0.1064,9127819029
44,Aave,AAVE,953186726.98,65.68,14513551
