Rank,Name,Ticker,Market cap,Price,Circulating supply,id
18,Polygon,MATIC,4085701248.6436534,0.5965202477247938,7956181045,matic-network
22,Uniswap,UNI,2331778655.2070765,5.130145770737965,719028140,uniswap
34,Decentraland,MANA,1466892973.8978534,0.9831055642401001,1849240641,decentraland
35,ApeCoin,APE,1809409384.4792206,6.195205124941966,292187500,apecoin
40,The Sandbox,SAND,1600619431.5470612,1.2996831513206077,1235564878,the-sandbox
42,Aave,AAVE,1475740993.6056592,106.89965494207715,13882529,aave
45,Axie Infinity,AXS,1651396602.950056,20.647189037498023,63760249,axie-infinity
49,Maker,MKR,1055475178.3709505,1172.5498673817726,977631,maker
52,The Graph,GRT,1222093150.6192598,0.16539572074040482,6900000000,the-graph
59,Fantom,FTM,900484279.3576882,0.3553134949255178,2545006273,fantom
65,PancakeSwap,CAKE,703341622.7434177,4.271091856433927,170211720,pancakeswap-token
67,OKB,OKB,2986091248.1794133,11.507785216079181,60000000,okb
68,Nexo,NEXO,680684397.4838395,1.217286162093911,560000011,nexo
74,Curve DAO Token,CRV,461024861.95973563,1.1785646109609396,500264115,curve-dao-token
78,STEPN,GMT,598834933.2260005,1.0001515084410932,600000000,stepn
80,Convex Finance,CVX,532473967.5513423,8.496799365773166,62746900,convex-finance
81,Gala,GALA,561570586.2774802,0.07466053084540072,6977205436,gala
84,Gnosis,GNO,487606489.037087,189.14706793620442,2579588,gnosis
87,XDC Network,XDC,469439377.3068379,0.03821587927649135,12305012699,xdce-crowd-sale
94,1inch Network,1INCH,419187343.6105156,0.8692820927021063,483826589,1inch
103,0x,ZRX,335458807.4566061,0.39644291844684676,847496055,0x
104,Kyber Network Crystal v2,KNC,194420265.0642317,1.90568452798692,177809350,kyber-network-crystal
108,Lido DAO,LDO,407784610.2436335,1.0213715537924457,312951154,lido-dao
110,Ankr,ANKR,310222957.60511917,0.0381666328758298,8162899378,ankr
112,Bancor,BNT,306737526.6982214,1.2381210052029772,248018354,bancor
114,Synthetix,SNX,590214040.1579655,2.6900295635273057,114841533,havven
116,Livepeer,LPT,318105265.41854435,12.447775506857301,23940328,livepeer
117,Audius,AUDIO,291222906.12765235,0.4066466384195838,719623350,audius
120,SwissBorg,CHSB,267728191.90191388,0.2817822361393663,1000000000,swissborg
121,SXP,SXP,285772511.0086748,0.5894821967939381,486632693,swipe
122,Serum,SRM,338597882.3789689,1.028605378958933,263244669,serum
123,yearn.finance,YFI,238645671.12099713,7551.249021822095,36638,yearn-finance
132,Polymath,POLY,224716771.71143147,0.2518065531529344,898560830,polymath
134,Immutable X,IMX,226452386.20220906,0.9647363009171521,235284001,immutable-x
138,Ethereum Name Service,ENS,271528331.45965207,10.984463192005007,20244862,ethereum-name-service
