id,Ticker,name
abased,$ABASED,aBASED
arabian-doge,$ADOGE,Arabian Doge
alkimi,$ADS,Alkimi
aurora-token,$ADTX,Aurora Dimension
alpha-intelligence,$AI,Alpha Intelligence
alpha-shares-v2,$ALPHA,Alpha Shares V2
anrkey-x,$ANRX,AnRKey X
aquadao,$AQUA,AquaDAO
arken-finance,$ARKEN,Arken Finance
baby-doge-inu,$BABYDOGEINU,Baby Doge Inu
utility-ape,$BANANA,Utility Ape
metabeat,$BEAT,MetaBeat
bingo,$BINGO,Tomorrowland
bolt-token-023ba86e-eb38-41a1-8d32-8b48ecfcb2c7,$BOLT,Bolt Token
bored,$BORED,Bored Token
bull-market,$BULL,Bull Market
cashcats,$CATS,CashCats
chillpill,$CHILL,ChillPill
chooky-inu,$CHOO,Chooky Inu
clear-water,$CLEAR,Clear Water
colr-coin,$COLR,colR Coin
cramer-coin,$CRAMER,Cramer Coin
cardence,$CRDN,Cardence
secret-skellies-society,$CRYPT,Secret Skellies Society
child-support,$CS,Child Support
doge-tv,$DGTV,Doge-TV
dog-ordinals,$DOG,$DOG (Ordinals)
dojo-supercomputer,$DOJO,Dojo Supercomputer
dosa,$DOSA,Dosa
everearn-eth,$EARN,EverEarn ETH
ethfan-burn,$EFB,ETHFan Burn
elevate-token,$ELEV,Elevate Token
podfast,$FAST,PodFast
fathom,$FATHOM,Fathom
freedom-jobs-business,$FJB,Freedom. Jobs. Business
fluffy-token,$FLUFFY,Fluffy Token
blocksmith-labs-forge,$FORGE,Blocksmith Labs Forge
furio,$FUR,Furio
genomesdao,$GENE,GenomesDAO
gnome,$GNOME,GNOME
greed,$GREED,Greed
haram,$HARAM,Haram
humanize,$HMT,Humanize
superrarebears-hype,$HYPE,SuperRareBears HYPE
sportsicon,$ICONS,SportsIcon
inery,$INR,Inery
insrt-finance,$INSRT,Insrt Finance
jedstar,$JED,JEDSTAR
kairos-a612bf05-b9c8-4e6b-aeb6-1f5b788ddd40,$KAIROS,Kairos
keisuke-inu,$KEI,Keisuke Inu
kitsumon,$KMC,Kitsumon
keeshond,$KSH,Keeshond
lobster,$LOBSTER,LOBSTER
meme-lordz,$LORDZ,Meme Lordz
lucrosus-capital,$LUCA,Lucrosus Capital
maidcoin,$MAID,MaidCoin
manga-token,$MANGA,Manga
scapesmania,$MANIA,ScapesMania
marble,$MARBLE,Marble Dao
artmeta,$MART,ArtMeta
mechachain,$MECHA,Mechanium
mememe,$MEMEME,MEMEME
melonx,$MLNX,MELONx
moon-pepe,$MPEPE,Moon Pepe
muu-inu,$MUU,MUU
nft-maker,$NMKR,NMKR
nowai,$NOWAI,NOWAI
ovols-floor-index,$OVOL,Ovols Floor Index
paper-dab1cd41-029d-4207-b87f-fd98d6fe737c,$PAPER,$PAPER
print-the-pepe,$PP,Print The Pepe
pudgy-cat,$PUDGY,Pudgy Cat
rainicorn,$RAINI,Raini
reach-dao,$READ,Reach DAO
astra-nova,$RVV,Astra Nova
sandwich-network,$SANDWICH,Sandwich Network
egod-the-savior,$SAVIOR,Egod The Savior
sharbi,$SHARBI,Sharbi
shibarium-pad,$SHIBP,Shibarium Pad
snark-launch,$SNRK,Snark Launch
spin-fi,$SPIN,Spin Fi
sponge-f08b2fe4-9d9c-47c3-b5a0-84c2ac3bbbff,$SPONGE,Sponge
super-shiba,$SSHIBA,Super Shiba
stride-staked-luna,$STLUNA,Stride Staked Luna
swing-xyz,$SWING,Swing.xyz
sweets,$SWTS,SWEETS
madagascar-token,$TIME,Madagascar
tipsycoin,$TIPSY,TipsyCoin
two-monkey-juice-bar,$TMON,Two Monkey Juice Bar
toad-killer,$TOAD,Toad Killer
megaweapon,$WEAPON,Megaweapon
walter-inu,$WINU,Walter Inu
winerz,$WNZ,Winerz
mindfolk-wood,$WOOD,Mindfolk Wood
wolf-ventures,$WV,Wolf Ventures
astar-moonbeam,$XCASTR,Astar (Moonbeam)
phala-moonbeam,$XCPHA,Phala (Moonbeam)
youbie,$YOUB,Youbie
zk-inu,$ZKINU,ZK inu
zknftex,$ZKN,zkNFTex
zenpandacoin,$ZPC,ZenPandaCoin
lenny-face,( ͡° ͜ʖ ͡°),Lenny Face
zer0zer0,00,00 Token
civfund-stone,0NE,Civfund Stone
0x0-ai-ai-smart-contract,0X0,0x0.ai: AI Smart Contract
oxbitcoin,0XBTC,0xBitcoin
encryption-ai,0XENCRYPT,Encryption AI
0xmonero,0XMR,0xMonero
0xwallet-token,0XW,0xWallet Token
tenset,10SET,Tenset
arbiten-10share,10SHARE,ArbiTen 10SHARE
1337,1337,Elite
free-speech,1AMD,Free Speech
1art,1ART,OneArt
1bch,1BCH,1BCH
1box,1BOX,1BOX
1doge,1DOGE,1Doge
earthfund,1EARTH,EarthFund
1eco,1ECO,1eco
flare-token,1FLR,Flare Token
1inch,1INCH,1inch
1minbet,1MB,1minBET
1million-nfts,1MIL,1MillionNFTs
1move token,1MT,1Move Token
1peco,1PECO,1peco
1reward-token,1RT,1Reward Token
1sol,1SOL,1Sol
onespace,1SP,Onespace
1world,1WO,1World
2044-nuclear-apocalypse,2044,2044 Nuclear Apocalypse
20weth-80bal,20WETH-80BAL,20WETH-80BAL
curve-fi-usdc-usdt,2CRV,Curve.fi USDC/USDT
2crazynft,2CRZ,2crazyNFT
2g-carbon-coin,2GCC,2G Carbon Coin
2local-2,2LC,2local
2omb-finance,2OMB,2omb
2share,2SHARES,2SHARE
3air,3AIR,3air
floki-shiba-pepe-ceo,3CEO,FLOKI SHIBA PEPE CEO
lp-3pool-curve,3CRV,LP 3pool Curve
3d3d,3D3D,3d3d
3-kingdoms-multiverse,3KM,3 Kingdoms Multiverse
30mb-token,3OMB,3OMB
web3camp,3P,Web3Camp
3shares,3SHARE,3Share
playa3ull-games,3ULL,Playa3ull Games
42-coin,42,42-coin
4artechnologies,4ART,4ART Coin
4chan,4CHAN,4Chan
4int,4INT,4INT
4jnet,4JNET,4JNET
4mw,4MW,4 Meta World
4play,4PLAY,4PLAY
forever-shiba,4SHIBA,FOREVER SHIBA
ignore-fud,4TOKEN,Ignore Fud
50cent,50C,50Cent
jackpot,777,Jackpot
7pixels,7PXS,7Pixels
888tron,888,888tron
8bitearn,8BIT,8BITEARN
8pay,8PAY,8Pay
99defi,99DEFI,99Defi
zktsunami,:ZKT:,ZkTsunami
age-of-tanks,A.O.T,Age Of Tanks
aonea-coin,A1A,Aonea Coin
heyflokiai,A2E,Hey Floki Ai
a4-finance,A4,A4 Finance
alpha5,A5T,Alpha5
moon-rabbit,AAA,Moon Rabbit
aave-aave,AAAVE,Aave AAVE
acute-angle-cloud,AAC,Double-A Chain
aada-finance,AADA,Aada Finance
aag-ventures,AAG,AAG
aave-amm-bptbalweth,AAMMBPTBALWETH,Aave AMM BptBALWETH
aave-amm-bptwbtcweth,AAMMBPTWBTCWETH,Aave AMM BptWBTCWETH
aave-amm-dai,AAMMDAI,Aave AMM DAI
aave-amm-uniaaveweth,AAMMUNIAAVEWETH,Aave AMM UniAAVEWETH
aave-amm-unibatweth,AAMMUNIBATWETH,Aave AMM UniBATWETH
aave-amm-unicrvweth,AAMMUNICRVWETH,Aave AMM UniCRVWETH
aave-amm-unidaiusdc,AAMMUNIDAIUSDC,Aave AMM UniDAIUSDC
aave-amm-unidaiweth,AAMMUNIDAIWETH,Aave AMM UniDAIWETH
aave-amm-unilinkweth,AAMMUNILINKWETH,Aave AMM UniLINKWETH
aave-amm-unimkrweth,AAMMUNIMKRWETH,Aave AMM UniMKRWETH
aave-amm-unirenweth,AAMMUNIRENWETH,Aave AMM UniRENWETH
aave-amm-unisnxweth,AAMMUNISNXWETH,Aave AMM UniSNXWETH
aave-amm-uniuniweth,AAMMUNIUNIWETH,Aave AMM UniUNIWETH
aave-amm-uniusdcweth,AAMMUNIUSDCWETH,Aave AMM UniUSDCWETH
aave-amm-uniwbtcusdc,AAMMUNIWBTCUSDC,Aave AMM UniWBTCUSDC
aave-amm-uniwbtcweth,AAMMUNIWBTCWETH,Aave AMM UniWBTCWETH
aave-amm-uniyfiweth,AAMMUNIYFIWETH,Aave AMM UniYFIWETH
aave-amm-usdc,AAMMUSDC,Aave AMM USDC
aave-amm-usdt,AAMMUSDT,Aave AMM USDT
aave-amm-wbtc,AAMMWBTC,Aave AMM WBTC
aave-amm-weth,AAMMWETH,Aave AMM WETH
ampnet,AAPX,AMPnet
all-art,AART,ALL.ART
aave,AAVE,Aave
aave-bal,ABAL,Aave BAL
aave-bat,ABAT,Aave BAT
astro-babies,ABB,Astro Babies
alibabacoin,ABBC,ABBC
wrapped-busd-allbridge-from-bsc,ABBUSD,Wrapped BUSD (Allbridge from BSC)
abell-coin,ABC,Abell Coin
abelian,ABEL,Abelian
abey,ABEY,Abey
abachi,ABI,Abachi
arabic,ABIC,Arabic
airbloc-protocol,ABL,Airbloc
able-finance,ABLE,Able Finance
any-blocknet,ABLOCK,ANY Blocknet
aboat-token-2,ABOAT,Aboat Token
aave-balancer-pool-token,ABPT,Aave Balancer Pool Token
aibra,ABR,AIBRA
arcblock,ABT,Arcblock
aave-busd,ABUSD,Aave BUSD
artbyte,ABY,ArtByte
the-abyss,ABYSS,Abyss
astrobirdz,ABZ,AstroBirdz
acoconut,AC,ACoconut
acala,ACA,Acala
alpha-brain-capital-2,ACAP,Alpha Capital
aga-carbon-rewards,ACAR,AGA Carbon Rewards
acent,ACE,Acent
alien-chicken-farm,ACF,Alien Chicken Farm
alchemy-pay,ACH,Alchemy Pay
acid,ACID,Acid
acknoledger,ACK,AcknoLedger
actinium,ACM,Actinium
acoin,ACOIN,Acoin
auto-core,ACORE,Auto Core
acquire-fi,ACQ,Acquire.Fi
acreage-coin,ACR,Acreage Coin
arable-protocol,ACRE,Arable Protocol
acria,ACRIA,Acria.AI
aave-crv,ACRV,Aave CRV
acryptos,ACS,ACryptoS
acryptosi,ACSI,ACryptoSI
achain,ACT,Achain
action-coin,ACTN,Action Coin
wrapped-cusd-allbridge-from-celo,ACUSD,Wrapped CUSD (Allbridge from Celo)
across-protocol,ACX,Across Protocol
ac-exchange-token,ACXT,ACDX Exchange
acy-finance,ACY,ACY Finance
all-coins-yield-capital,ACYC,All Coins Yield Capital
adreward,AD,ADreward
cardano,ADA,Cardano
adacash,ADACASH,ADAcash
aave-dai,ADAI,Aave DAI
adanaspor-fan-token,ADANA,Adanaspor Fan Token
adadao,ADAO,ADADao
adapad,ADAPAD,ADAPad
adax,ADAX,ADAX
advertise-coin,ADCO,Advertise Coin
add-xyz-new,ADD,Add.xyz (NEW)
adamant,ADDY,Adamant
akropolis-delphi,ADEL,Delphi
ad-flex-token,ADF,Ad Flex
aditus,ADI,Aditus
aidos-kuneen,ADK,Aidos Kuneen
amazingdoge,ADOGE,AmazingDoge
adonis-2,ADON,Adonis
adappter-token,ADP,Adappter
adroverse,ADR,Adroverse
adshares,ADS,Adshares
adtoken,ADT,adChain
advantis,ADVT,Advantis
adex,ADX,Ambire AdEx
anonydoxx,ADXX,AnonyDoxx
aeternity,AE,Aeternity
aether-games,AEG,Aether Games
aeggs,AEGGS,aEGGS
stonkleague,AEGIS,StonkLeague
aelysir,AEL,Aelysir
aelin,AELIN,Aelin
atheneum,AEM,Atheneum
aave-enj,AENJ,Aave ENJ
aeon,AEON,Aeon
aerdrop,AER,Aerdrop
aerarium-fi,AERA,Aerarium Fi
aergo,AERGO,Aergo
aerovek-aviation,AERO,Aerovek Aviation
aave-eth-v1,AETH,Aave ETH v1
aeur,AEUR,AEUR
arsenal-fan-token,AFC,Arsenal Fan Token
animal-farm,AFD,Animal Farm Dogs
afen-blockchain,AFEN,AFEN Blockchain
aries-financial-token,AFIB,Aries Financial
afin-coin,AFIN,Asian Fintech
altfins,AFINS,altFINS
afkdao,AFK,AFKDAO
affinity,AFNTY,Affinity
pigs-2,AFP,PIGS
afreum,AFR,Afreum
afrep,AFREP,Afrep
afrostar,AFRO,Afrostar
ape-fun-token,AFT,Ape Fun
afrix,AFX,Afrix
artify,AFY,Artify
afyonspor-fan-token,AFYON,Afyonspor Fan Token
agame,AG,AGAME
atromg8,AG8,ATROMG8
aga-token,AGA,AGA
aga-carbon-credit,AGAC,AGA Carbon Credit
agenor,AGE,Agenor
ageur,AGEUR,agEUR
augmented-finance,AGF,Augmented Finance
amplifi-dao,AGG,AmpliFi DAO
aggle-io,AGGL,aggle.io
agility,AGI,Agility
singularitynet,AGIX,SingularityNET
agile,AGL,Agile
angola,AGLA,Angola
adventure-gold,AGLD,Adventure Gold
agricoin,AGN,Agricoin
agora-defi,AGORA,Agora Defi
answer-governance,AGOV,Answer Governance
artgpt,AGPT,artGPT
agro-global,AGRO,Agro Global
