Rank,Weeks,Constituents,Total Return,Mean Return,Median Return,Standard Deviation,Sharpe Ratio,Sortino Ratio,Max Drawdown
1,1,30,621.47,2.02,1.62,13.85,1.89,2.9,-82.6
2,1,5,611.25,2.21,1.9,15.49,1.88,3.08,-84.16
3,2,30,555.85,1.96,1.62,13.79,1.83,2.8,-82.69
4,1,20,541.81,1.97,1.4,13.91,1.82,2.79,-82.78
5,8,30,520.6,1.93,1.67,13.74,1.8,2.74,-83.23
6,4,30,489.68,1.91,1.62,13.78,1.77,2.69,-82.96
7,2,5,478.21,2.1,1.9,15.48,1.77,2.88,-85.05
8,2,20,450.4,1.88,1.46,13.85,1.73,2.63,-82.74
9,4,20,403.2,1.83,1.46,13.86,1.67,2.54,-83.47
10,8,5,401.35,1.96,1.16,14.93,1.69,2.69,-89.45
11,4,5,378.79,1.95,1.9,15.1,1.66,2.64,-86.56
12,1,10,344.66,1.83,1.47,14.39,1.61,2.5,-84.34
13,8,20,340.07,1.76,1.46,13.84,1.59,2.41,-83.66
14,2,10,339.55,1.81,1.47,14.32,1.6,2.47,-84.55
15,4,10,323.17,1.8,1.8,14.34,1.59,2.42,-84.5
16,24,30,322.07,1.7,1.66,13.5,1.56,2.33,-82.97
17,12,30,281.28,1.66,1.46,13.63,1.5,2.24,-83.25
18,8,10,275.39,1.73,1.53,14.28,1.51,2.31,-85.74
19,24,20,219.55,1.55,1.47,13.53,1.39,2.07,-85.12
20,24,5,217.14,1.68,0.74,14.78,1.4,2.25,-87.76
21,12,20,211.55,1.56,1.58,13.7,1.38,2.06,-83.29
22,12,10,147.22,1.51,1.32,14.31,1.27,1.92,-85.85
23,24,10,105.88,1.4,1.24,14.11,1.16,1.72,-88.69
24,12,5,75.85,1.45,0.72,15.24,1.13,1.74,-88.46
